restaurant_id,Nama Restoran,Preferensi Makanan,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Variasi Makanan,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte
0,"Mie Bandung Chinese Food, Ngampilan",Chinese,39000,5.0,Santai,"Bakmie, Aneka nasi, Chinese",3,Disajikan,Ala Carte
1,"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan",Indonesia,19000,4.0,Santai,"Bakso & soto, Cepat saji, Minuman",2,Disajikan,Ala Carte
2,Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben,Indonesia,22000,4.0,Santai,"Bakso & soto, Minuman",2,Disajikan,Ala Carte
3,"Legend Coffee, Yogyakarta",Western,37000,4.0,Santai,"Chicken & duck, Beverages, Pizza & pasta, Coffee, Rice, Noodles, Western",1,Disajikan,Ala Carte
4,"Martabak Okonomiyaki BAMLY, Sonopakis",Japanese,25000,5.0,Santai,"Chicken & duck, Japanese, Martabak",3,Disajikan,Ala Carte
5,"Nasi Goreng Gemilang, Gedongkuning",Chinese,19000,5.0,Santai,Chinese,2,Disajikan,Ala Carte
6,"Restoran Mahkota (Tiong San), Pajeksan",Chinese,132000,5.0,Santai,"Chinese, Ayam & bebek, Aneka nasi, Bakmie",1,Disajikan,Ala Carte
7,"Curryin, Perumnas",Japanese,42000,5.0,Santai,Japanese,1,Disajikan,Ala Carte
8,"Marugame Udon, Hartono Mall Jogja",Japanese,68000,5.0,Formal,Japanese,1,Disajikan,Ala Carte
9,"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo",Japanese,64000,5.0,Formal,"Japanese, Fast food, Chicken & duck, Rice",3,Disajikan,Ala Carte
10,"Sushi Battousai, Suryodiningratan",Japanese,32000,4.0,Formal,"Japanese, Snacks, Chinese",2,Disajikan,Ala Carte
11,"Mochi Sakura, Plaza Ambarukmo",Japanese,41000,4.0,Santai,"Japanese, Snacks, Sweets",1,Disajikan,Ala Carte
12,"Soto Pak Zaenal Barokah, Warungboto Umbulharjo",Indonesia,15000,4.0,Santai,"Minuman, Bakso & soto",2,Disajikan,Ala Carte
