Preferensi Makanan,Jenis Suasana,Variasi Makanan,Features
Chinese,Santai,"Bakmie, Aneka nasi, Chinese","Chinese Santai Bakmie, Aneka nasi, Chinese"
Indonesia,Santai,"Bakso & soto, Cepat saji, Minuman","Indonesia Santai Bakso & soto, Cepat saji, Minuman"
Indonesia,Santai,"Bakso & soto, Minuman","Indonesia Santai Bakso & soto, Minuman"
Western,Santai,"Chicken & duck, Beverages, Pizza & pasta, Coffee, Rice, Noodles, Western","Western Santai Chicken & duck, Beverages, Pizza & pasta, Coffee, Rice, Noodles, Western"
Japanese,Santai,"Chicken & duck, Japanese, Martabak","Japanese Santai Chicken & duck, Japanese, Martabak"
Chinese,Santai,Chinese,Chinese Santai Chinese
Chinese,Santai,"Chinese, Ayam & bebek, Aneka nasi, Bakmie","Chinese Santai Chinese, Ayam & bebek, Aneka nasi, Bakmie"
Japanese,Santai,Japanese,Japanese Santai Japanese
Japanese,Formal,Japanese,Japanese Formal Japanese
Japanese,Formal,"Japanese, Fast food, Chicken & duck, Rice","Japanese Formal Japanese, Fast food, Chicken & duck, Rice"
Japanese,Formal,"Japanese, Snacks, Chinese","Japanese Formal Japanese, Snacks, Chinese"
Japanese,Santai,"Japanese, Snacks, Sweets","Japanese Santai Japanese, Snacks, Sweets"
Indonesia,Santai,"Minuman, Bakso & soto","Indonesia Santai Minuman, Bakso & soto"
Western,Santai,"Pizza & pasta, Chicken & duck, Western, Rice, Beverages, Snacks, Sweets, Fast food, Bakery, Bakso & soto, Noodles, Coffee","Western Santai Pizza & pasta, Chicken & duck, Western, Rice, Beverages, Snacks, Sweets, Fast food, Bakery, Bakso & soto, Noodles, Coffee"
Western,Santai,"Pizza & pasta, Western","Western Santai Pizza & pasta, Western"
Western,Formal,"Rice, Beverages, Western","Western Formal Rice, Beverages, Western"
Japanese,Formal,"Rice, Fast food, Japanese","Japanese Formal Rice, Fast food, Japanese"
Japanese,Formal,"Seafood, Japanese","Japanese Formal Seafood, Japanese"
Western,Santai,"Snacks, Western, Fast food","Western Santai Snacks, Western, Fast food"
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Fast food, Chicken & duck","Western Santai Western, Fast food, Chicken & duck"
Western,Santai,"Western, Fast food, Snacks","Western Santai Western, Fast food, Snacks"
Western,Santai,"Western, Pizza & pasta, Rice","Western Santai Western, Pizza & pasta, Rice"
Chinese,Santai,"Bakmie, Chinese, Bakso & soto","Chinese Santai Bakmie, Chinese, Bakso & soto"
Indonesia,Santai,"Bakso & soto, Bakmie","Indonesia Santai Bakso & soto, Bakmie"
Chinese,Santai,"Chinese, Japanese, Korean","Chinese Santai Chinese, Japanese, Korean"
Chinese,Santai,"Chinese, Seafood, Bakmie","Chinese Santai Chinese, Seafood, Bakmie"
Japanese,Santai,"Coffee, Beverages, Japanese","Japanese Santai Coffee, Beverages, Japanese"
Japanese,Formal,"Fast food, Japanese","Japanese Formal Fast food, Japanese"
Japanese,Santai,"Fast food, Japanese, Korean","Japanese Santai Fast food, Japanese, Korean"
Indonesia,Santai,Japanese,Indonesia Santai Japanese
Japanese,Formal,"Japanese, Rice","Japanese Formal Japanese, Rice"
Chinese,Santai,"Minuman, Chinese, Barat","Chinese Santai Minuman, Chinese, Barat"
Western,Formal,"Rice, Western, Snacks","Western Formal Rice, Western, Snacks"
Japanese,Formal,"Snacks, Japanese","Japanese Formal Snacks, Japanese"
Western,Santai,Western,Western Santai Western
Western,Santai,"Western, Fast food","Western Santai Western, Fast food"
Western,Santai,"Western, Indian, Pizza & pasta","Western Santai Western, Indian, Pizza & pasta"
Japanese,Formal,"Western, Japanese, Pizza & pasta","Japanese Formal Western, Japanese, Pizza & pasta"
Western,Santai,"Western, Rice, Fast food","Western Santai Western, Rice, Fast food"
Indonesia,Santai,"Aneka nasi, Ayam & bebek, Bakso & soto","Indonesia Santai Aneka nasi, Ayam & bebek, Bakso & soto"
Indonesia,Santai,"Aneka nasi, Ayam & bebek, Bakso & soto","Indonesia Santai Aneka nasi, Ayam & bebek, Bakso & soto"
Chinese,Santai,"Aneka nasi, Cepat saji, Chinese","Chinese Santai Aneka nasi, Cepat saji, Chinese"
